GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.util,SessionManager,0,29,1,3,0,12,1,7,0,6
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.model,Property,0,46,0,0,0,20,0,10,0,10
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.app,MainApp,237,0,12,0,71,0,17,0,11,0
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.view,DashboardView,443,0,0,0,82,0,17,0,17,0
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.view,LoginView,484,0,18,0,118,0,36,0,27,0
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.view,PropertyView,1563,0,92,0,347,0,101,0,55,0
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.view,PlaceholderView,54,0,0,0,11,0,2,0,2,0
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.view,PropertyView.PropertyFormData,9,0,0,0,1,0,1,0,1,0
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.view,RegisterView,386,0,14,0,76,0,20,0,13,0
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.service,PropertyApiService,211,11,18,0,44,4,13,1,4,1
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.service,UserApiService.LoginResult,12,0,0,0,1,0,1,0,1,0
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.service,UserApiService,212,0,18,0,42,0,13,0,4,0
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.service,PropertyApiService.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
SmartHomeMaintenanceUI,com.sigma.smarthome.ui.service,UserApiService.JwtUserInfo,9,0,0,0,1,0,1,0,1,0
